Data,Vento0,Vento1,Vento2,Vento3,Vento4,Vento5,Vento6,Vento7,Vento8,Vento9,Vento10,Vento11,Vento12,Vento13,Vento14,Vento15,Vento16,Vento17,Vento18,Vento19,Vento20,Vento21,Vento22,Vento23
13-ABR-2012,1.5,4.5,5.2,2.9,2.9,2.0,1.4,1.0,1.4,1.2,2.7,2.9,3.6,3.4,2.7,2.8,2.7,3.3,3.6,4.2,2.5,1.9,1.5,0.9
14-ABR-2012,0.9,4.2,2.7,2.6,2.6,3.7,3.2,2.1,1.9,1.3,3.4,3.6,3.7,3.8,3.6,3.2,3.5,2.9,3.5,2.6,2.0,1.7,2.1,1.6
15-ABR-2012,1.4,2.1,1.7,1.3,0.6,1.2,1.3,1.4,1.5,1.3,1.8,1.9,2.4,2.1,2.9,2.6,2.6,2.9,2.7,3.3,2.1,1.4,0.8,3.1
16-ABR-2012,2.5,1.1,0.9,0.6,0.5,0.6,1.1,2.0,1.8,0.7,1.0,2.3,3.3,2.3,2.4,1.3,3.0,2.8,2.4,2.4,1.2,0.8,1.5,1.7
17-ABR-2012,3.3,0.8,1.0,2.0,0.6,0.4,0.9,1.1,1.3,2.0,1.5,1.3,1.0,1.3,1.7,1.1,3.2,3.2,4.1,2.1,3.2,3.2,4.8,3.5
18-ABR-2012,1.9,2.0,3.7,2.4,1.5,2.0,1.3,2.7,2.3,2.0,4.0,2.6,2.8,3.9,2.7,3.3,2.8,2.0,3.1,3.3,3.3,0.9,3.0,1.3
19-ABR-2012,1.5,0.9,2.2,3.2,3.0,1.7,1.8,2.0,1.8,2.5,2.6,3.4,5.1,3.6,3.3,2.4,3.9,3.9,5.1,3.8,3.9,5.5,3.4,3.9
20-ABR-2012,3.6,2.2,3.0,2.1,2.8,2.9,2.5,2.8,1.8,1.1,2.7,4.0,3.3,2.6,3.1,2.5,1.8,1.4,0.7,2.1,2.4,1.1,0.5,0.3
21-ABR-2012,1.3,1.3,2.1,1.6,1.4,1.9,0.4,0.4,0.9,0.7,1.3,2.7,2.2,3.4,2.4,2.7,3.5,2.6,1.6,2.5,2.7,1.4,1.3,1.0
22-ABR-2012,1.4,1.3,1.9,0.7,1.0,1.6,1.5,0.8,1.2,0.8,2.8,1.7,2.2,1.7,1.7,2.6,4.2,4.3,3.3,2.8,4.1,2.1,0.9,2.3
23-ABR-2012,2.0,1.1,4.4,1.2,1.0,1.9,1.0,1.0,1.2,1.5,1.2,2.1,2.0,2.6,3.8,2.6,4.7,2.7,2.2,2.5,2.9,2.0,2.5,1.2
