"","Date","Hour","WindSpeed"
"731",2012-01-31,10,1
"732",2012-01-31,11,2
"733",2012-01-31,12,1.2
"734",2012-01-31,13,2.3
"735",2012-01-31,14,3.6
"736",2012-01-31,15,1.9
"737",2012-01-31,16,3.1
"738",2012-01-31,17,1.5
"739",2012-01-31,18,2.8
"740",2012-01-31,19,2.4
"741",2012-01-31,20,0.9
"742",2012-01-31,21,0.8
"743",2012-01-31,22,1.4
"744",2012-01-31,23,0.9
"745",2012-02-01,0,0.9
"746",2012-02-01,1,1
"747",2012-02-01,2,3
"748",2012-02-01,3,2.3
"749",2012-02-01,4,3.4
"750",2012-02-01,5,1.1
"751",2012-02-01,6,1.5
"752",2012-02-01,7,0.9
"753",2012-02-01,8,1.4
"754",2012-02-01,9,1.4
"755",2012-02-01,10,1.4
"756",2012-02-01,11,2.4
"757",2012-02-01,12,2.7
"758",2012-02-01,13,4.1
"759",2012-02-01,14,3.5
"760",2012-02-01,15,3.4
"761",2012-02-01,16,2.6
"762",2012-02-01,17,2.8
"763",2012-02-01,18,2.8
"764",2012-02-01,19,3.8
"765",2012-02-01,20,2.8
"766",2012-02-01,21,0.8
"767",2012-02-01,22,1.4
"768",2012-02-01,23,0.6
"769",2012-02-02,0,1
"770",2012-02-02,1,3.3
"771",2012-02-02,2,1.4
"772",2012-02-02,3,2.6
"773",2012-02-02,4,2.9
"774",2012-02-02,5,3.7
"775",2012-02-02,6,2.7
"776",2012-02-02,7,3.7
"777",2012-02-02,8,2.2
"778",2012-02-02,9,0.8
"779",2012-02-02,10,1.2
"780",2012-02-02,11,1.8
"781",2012-02-02,12,1.7
"782",2012-02-02,13,1.9
"783",2012-02-02,14,3.3
"784",2012-02-02,15,3.8
"785",2012-02-02,16,4.6
"786",2012-02-02,17,2.9
"787",2012-02-02,18,4.3
"788",2012-02-02,19,3.4
"789",2012-02-02,20,4
"790",2012-02-02,21,0.7
"791",2012-02-02,22,1.3
"792",2012-02-02,23,1.1
"793",2012-02-03,0,4.3
"794",2012-02-03,1,3.7
"795",2012-02-03,2,4.7
"796",2012-02-03,3,3.9
"797",2012-02-03,4,2.8
"798",2012-02-03,5,2.4
"799",2012-02-03,6,2.1
"800",2012-02-03,7,1.6
"801",2012-02-03,8,2.8
"802",2012-02-03,9,3.2
"803",2012-02-03,10,3
"804",2012-02-03,11,4.1
"805",2012-02-03,12,4.4
"806",2012-02-03,13,3
"807",2012-02-03,14,2.7
"808",2012-02-03,15,4
"809",2012-02-03,16,4.2
"810",2012-02-03,17,3.2
"811",2012-02-03,18,3.7
"812",2012-02-03,19,3.4
"813",2012-02-03,20,3
"814",2012-02-03,21,2.2
"815",2012-02-03,22,2.5
"816",2012-02-03,23,1.8
"817",2012-02-04,0,3.8
"818",2012-02-04,1,5
"819",2012-02-04,2,3.2
"820",2012-02-04,3,2.7
"821",2012-02-04,4,2.6
"822",2012-02-04,5,1.8
"823",2012-02-04,6,2.3
"824",2012-02-04,7,1.5
"825",2012-02-04,8,2.9
"826",2012-02-04,9,2.3
"827",2012-02-04,10,2
"828",2012-02-04,11,4.1
"829",2012-02-04,12,4
"830",2012-02-04,13,3.9
"831",2012-02-04,14,3.3
"832",2012-02-04,15,3.1
"833",2012-02-04,16,4.3
"834",2012-02-04,17,3.5
"835",2012-02-04,18,2.8
"836",2012-02-04,19,3.5
"837",2012-02-04,20,3.8
"838",2012-02-04,21,3.2
